deck_id,card_id
A3,1
A4,2
A5,3
A6,4
A7,5
A8,6
A9,7
A10,8
A11,9
A12,10
A13,11
A14,12
A15,13
A16,14
A17,15
A18,16
A19,17
A20,18
A21,19
A22,20
A23,21
A24,22
A25,23
A26,24
A27,25
A28,26
A29,27
A30,28
A31,29
A32,30
A33,31
A34,32
A35,33
A36,34
A37,35
A38,36
A39,37
A40,38
A41,39
A42,40
A43,41
A44,42
A45,43
A46,44
A47,45
A48,46
A49,47
A50,48
A51,49
A52,50
A53,51
A54,52
A55,53
A56,54
A57,55
A58,56
A59,57
A60,58
A61,59
A62,60
A63,61
A64,62
A65,63
A66,64
A67,65
A68,66
A69,67
A70,68
A71,69
A72,70
A73,71
A74,72
A75,73
A76,74
A77,75
A78,76
A79,77
A80,78
A81,79
A82,80
A83,81
A84,82
A85,83
A86,84
A87,85
A88,86
A89,87
A90,88
A91,89
A92,90
A93,91
A94,92
A95,93
A96,94
A97,95
A98,96
A99,97
A100,98
A101,99
A102,100
A103,101
A104,102
A105,103
A106,104
A107,105
A108,106
A109,107
A110,108
A111,109
A112,110
A113,111
A114,112
A115,113
A116,114
A117,115
A118,116
A119,117
A120,118
A121,119
A122,120
A123,121
A124,122
A125,123
A126,124
A127,125
A128,126
A129,127
A130,128
A131,129
A132,130
A133,131
A134,132
A135,133
A136,134
A137,135
A138,136
A139,137
A140,138
A141,139
A142,140
A143,141
A144,142
A145,143
A146,144
A147,145
A148,146
A149,147
A150,148
A151,149
A152,150
A153,151
A154,152
A155,153
A156,154
A157,155
